Aménageur;Opérateur;Enseigne;Id station;Nom Station;Adresse;Code INSEE;Nombre Points de charge;ID Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Observations;Date de Mise à Jour;Source;Coordonnees;Code Officiel Région;Code Officiel Département;Code EPCI;Nom de l'EPCI;Commune;Nom de la région;Nom du département
Mitsubishi Villeneuve d'Ascq;DRIVECO;Mitsubishi Villeneuve d'Ascq;FR*G59*PDUGARDINMITSUBISHI59650*1;Mitsubishi Villeneuve d'Ascq;Boulebard de l'Ouest 59650 Villeneuve d'Ascq;59350;2;FR*G59*E10573*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.632313, 3.120473;32;59;200093201;Métropole Européenne de Lille;Lille;HAUTS DE FRANCE;NORD
Mouv'Oise;Freshmile;Freshmile;FR*S60*PRIBECOURT;Ribécourt Dreslincourt, République;Place de la République 60170 Ribécourt-Dreslincourt;60537;2;FR*S60*EQAHA*1;22.0;T2 - E/F;Payant;24h/24 7j/7;;2018-04-15;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-ba460b68-e779-4e9b-8295-24dc88981abe;49.5104, 2.92314;32;60;246000772;CC des Deux Vallées;Ribécourt-Dreslincourt;HAUTS DE FRANCE;OISE
Mouv'Oise;Freshmile;Freshmile;FR*S60*PCYAVCQ;Senlis, Yves Carlier;25 Rue Yves Carlier 60300 Senlis;60612;2;FR*S60*EKREN*1;22.0;T2 - E/F;Payant;24h/24 7j/7;;2018-12-07;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-ba460b68-e779-4e9b-8295-24dc88981abe;49.2088, 2.579;32;60;200066975;CC Senlis Sud Oise;Senlis;HAUTS DE FRANCE;OISE
Mouv'Oise;Freshmile;Freshmile;FR*S60*PXXJWHG;Cernay-la-Ville - Moulins;373 Rue Jean Renoir 60230 Chambly;60139;2;FR*S60*EKLTK*2;22.0;T2 - E/F;Payant;24h/24 7j/7;;2018-12-07;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-ba460b68-e779-4e9b-8295-24dc88981abe;49.1598, 2.25579;32;60;200067973;CC Thelloise;Chambly;HAUTS DE FRANCE;OISE
Métropole Européenne de Lille;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*M59*P59146*001;CHÉRENG - Rue Jean Ochin;Rue Jean Ochin 59152 CHÉRENG;59146;2;FR*M59*E59146*001*2;18.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.608524, 3.208113;32;59;200093201;Métropole Européenne de Lille;Chéreng;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*M59*P59025*001;AUBERS - Place de l'Eglise;Place de l'Eglise 59249 AUBERS;59025;2;FR*M59*E59025*001*2;18.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.595184, 2.82549;32;59;200093201;Métropole Européenne de Lille;Aubers;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;Izivia;Pass pass electrique;FR*SOD*S*NPDC*236*1*_*_;Houplin - Médiathèque;Rue Pasteur, Houplin-Ancoisne;59316;2;FR*SOD*S*NPDC*236*1*_*_2;;E/F-T2;payant;24/24 7/7 jours;"Type charge indiquée selon décret de 2017
Type de charge : normale";2019-02-27;https://www.data.gouv.fr/fr/datasets/localisation-des-points-de-recharge-pour-vehicules-electriques/#resource-a05390b1-0e05-463f-9b73-45cab31f2d44;50.561569, 3.000154;32;59;200093201;Métropole Européenne de Lille;Houplin-Ancoisne;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*M59*P59350*001;LOMME - Rue du grand but;Rue du grand but 59160 LOMME;59350;12;FR*M59*E59350*001*12;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.652771, 2.974986;32;59;200093201;Métropole Européenne de Lille;Lille;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;Izivia;Pass pass electrique;FR*SOD*S*NPDC*241*1*_*_;Forest sur Marque - Pergola;Hammeau des Églantiers, Forest sur Marque;59247;2;FR*SOD*S*NPDC*241*1*_*_2;;E/F-T2;payant;24/24 7/7 jours;"Type charge indiquée selon décret de 2017
Type de charge : normale";2019-02-27;https://www.data.gouv.fr/fr/datasets/localisation-des-points-de-recharge-pour-vehicules-electriques/#resource-a05390b1-0e05-463f-9b73-45cab31f2d44;50.636709, 3.189922;32;59;200093201;Métropole Européenne de Lille;Forest-sur-Marque;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*M59*P59208*001;ESCOBECQUES - Route d'Ennetières;Route d'Ennetières 59320 ESCOBECQUES;59208;2;FR*M59*E59208*001*2;18.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.622204, 2.931303;32;59;200093201;Métropole Européenne de Lille;Escobecques;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;Izivia;Pass pass electrique;FR*SOD*S*NPDC*252*1*_*_;Marquillies - Mairie;Rue de la Bourse, Marquillies;59388;2;FR*SOD*S*NPDC*252*1*_*_1;;E/F-T2;payant;24/24 7/7 jours;"Type charge indiquée selon décret de 2017
Type de charge : normale";2019-02-27;https://www.data.gouv.fr/fr/datasets/localisation-des-points-de-recharge-pour-vehicules-electriques/#resource-a05390b1-0e05-463f-9b73-45cab31f2d44;50.557431, 2.866748;32;59;200093201;Métropole Européenne de Lille;Marquillies;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*M59*P59013*001;ANSTAING - Rue Marie Curie;Rue Marie Curie 59152 ANSTAING;59013;2;FR*M59*E59013*001*2;18.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.606251, 3.190342;32;59;200093201;Métropole Européenne de Lille;Anstaing;HAUTS DE FRANCE;NORD
Opel Courrières;DRIVECO;Opel Courrières;FR*G44*PLEMPEREUROPEL62710*1;Opel Courrières;Espace Valauto, zone du rond-point 62710 Courrières;62250;5;FR*G44*E10351*P1;22.08;EF, T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.442112, 2.94578;32;62;246200299;CA d'Hénin-Carvin;Courrières;HAUTS DE FRANCE;PAS DE CALAIS
Opel Dechy;DRIVECO;Opel Dechy;FR*G44*PLEMPEREUROPEL59187*1;Opel Dechy;Zone Luc rue Barack Obama 59187 Dechy;59170;6;FR*G44*E10355*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.343369, 3.119406;32;59;200044618;CA Douaisis Agglo;Dechy;HAUTS DE FRANCE;NORD
LM - Siege Lezennes;DRIVECO;LM - Siege Lezennes;FR*E56*PLMLEZENNES59260*1;LM - Siege Lezennes;Rue Chanzy 59260 Lezennes;59346;32;FR*E56*E10122*P1;22.08;EF, T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.611698, 3.12165;32;59;200093201;Métropole Européenne de Lille;Lezennes;HAUTS DE FRANCE;NORD
LM - Siege Lezennes;DRIVECO;LM - Siege Lezennes;FR*E56*PLMLEZENNES59260*1;LM - Siege Lezennes;Rue Chanzy 59260 Lezennes;59346;32;FR*E56*E10136*P1;11.04;EF, T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.611698, 3.12165;32;59;200093201;Métropole Européenne de Lille;Lezennes;HAUTS DE FRANCE;NORD
IMT Douai - Lahure - Centre de Recherche;DRIVECO;IMT Douai - Lahure - Centre de Recherche;FR*E45*PIMTDOUAI59508*2;IMT Douai - Lahure - Centre de Recherche;764 Boulevard Lahure 59500 Douai Cedex;59178;4;FR*E45*E10225*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.3866, 3.0827;32;59;200044618;CA Douaisis Agglo;Douai;HAUTS DE FRANCE;NORD
